Country/Region,Confirmed,Deaths,Recovered,Active,Cluster
Ukraine,67096,1636,37202,28258,0
United Arab Emirates,59177,345,52510,17173,0
United Kingdom,301708,45844,1437,254427,3
Uruguay,1202,35,951,319,0
Uzbekistan,21209,121,11674,9414,0
Venezuela,15988,146,9959,7807,0
Vietnam,431,0,365,163,0
West Bank and Gaza,10621,78,3752,7382,0
Western Sahara,10,1,8,6,0
Yemen,1691,483,833,580,0
Zambia,4552,140,2815,2236,0
Zimbabwe,2704,36,542,2126,0
